Group ID,Observer ID,Question,Response ID,Response,Code
1,1,1.1: How often have you all used IETMs in your experience as Sailors? ,1,"Every day (chorus of voices), except for 2 who say they use it weekly.  ",Frequency 
1,1,1.1: How often have you all used IETMs in your experience as Sailors? ,2,One Sailor comments they “usually use print”. ,Hardcopy 
1,2,1.1: How often have you all used IETMs in your experience as Sailors? ,93,Every day (most) ,Frequency 
1,2,1.1: How often have you all used IETMs in your experience as Sailors? ,94,Weekly/couple times a week ,Frequency 
1,2,1.1: How often have you all used IETMs in your experience as Sailors? ,95,RL (job code) uses printed procedures ,Hardcopy 
1,2,1.1: How often have you all used IETMs in your experience as Sailors? ,96,"Procedures with very repetitive steps get printed, and then we write on them (for example one set of steps is labeled system A one is labeled system B, one is labeled system C, etc.) ",Hardcopy 
2,1,1.1: How often have you all used IETMs in your experience as Sailors? ,197,"One Sailor does CMO, which is more supervisory watch duties, so they do not use IETM much – they do note the slow load time when they do. ",Frequency; complaint
2,1,1.1: How often have you all used IETMs in your experience as Sailors? ,198,Another Sailor says they use IETMs a few times a week. ,Frequency 
2,1,1.1: How often have you all used IETMs in your experience as Sailors? ,199,Another Sailor says that “everyone in RC uses IETMs every day” (including this participant). ,Frequency 
2,1,1.1: How often have you all used IETMs in your experience as Sailors? ,200,Two Sailors say they use the IETM every day. ,Frequency 
2,2,1.1: How often have you all used IETMs in your experience as Sailors? ,265,"In plant, supervisory watch waiting for other to get it to load (doesn’t use it himself) ",Purpose; Time
2,2,1.1: How often have you all used IETMs in your experience as Sailors? ,266,RC (job code) every day ,Frequency 
2,2,1.1: How often have you all used IETMs in your experience as Sailors? ,267,Few times a week ,Frequency 
2,2,1.1: How often have you all used IETMs in your experience as Sailors? ,268,Every day,Frequency 
3,1,1.1: How often have you all used IETMs in your experience as Sailors? ,327,Sailor said they use IETMs everyday to some degree – anytime standing watch. IETMs are “more convenient than just having a book in front of me.” Sailor states that everyone uses IETMs when on watch.,Frequency; Purpose; useful
3,2,1.1: How often have you all used IETMs in your experience as Sailors? ,385,Every day,Frequency 
3,2,1.1: How often have you all used IETMs in your experience as Sailors? ,386,"Anytime they are standing watch, using it more as a direct reference",Purpose 
3,2,1.1: How often have you all used IETMs in your experience as Sailors? ,387,More convenient than book,Purpose; useful
4,1,1.1: How often have you all used IETMs in your experience as Sailors? ,476,Most Sailors respond: “every day.”,Frequency 
4,1,1.1: How often have you all used IETMs in your experience as Sailors? ,477,One Sailor says it depends on the situation.,Frequency 
4,1,1.1: How often have you all used IETMs in your experience as Sailors? ,478,One Sailor says it’s when they are on watch or for maintenance.,Purpose 
4,2,1.1: How often have you all used IETMs in your experience as Sailors? ,530,Every day (all participants),Frequency 
