Participant ID,Group ID,Prompt,Response
2,1,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",10
3,1,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",5
4,1,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",5
5,1,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",5
6,1,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",4
7,1,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",3
9,1,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",6
10,1,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",7
11,2,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",2
12,2,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",2
13,2,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",1
14,2,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",5
15,2,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",5
16,3,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",10
17,3,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",8
18,4,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",2
19,4,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",8
20,4,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",10
21,4,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",10
22,4,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",10
23,5,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",10
